LATITUDE,LONGITUDE,PARCELNO,SALE_PRC,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,month_sold,structure_quality,overwrite
25.8910306,-80.160561,622280070620,"440,000",9375,1753,0,2815.9,12811.4,347.6,42815.3,37742.2,15954.9,67,0,August,4,#VALUE!
25.8913242,-80.153968,622280100460,"349,000",9375,1715,0,4359.1,10648.4,337.8,43504.9,37340.5,18125,63,0,September,4,#VALUE!
25.8913341,-80.15374,622280100470,"800,000",9375,2276,49206,4412.9,10574.1,297.1,43530.4,37328.7,18200.5,61,0,February,4,#VALUE!
25.8917646,-80.152657,622280100530,"988,000",12450,2058,10033,4585,10156.5,0,43797.5,37423.2,18514.4,63,0,September,4,#VALUE!
25.8918246,-80.154639,622280100200,"755,000",12800,1684,16681,4063.4,10836.8,326.6,43599.7,37550.8,17903.4,42,0,July,4,#VALUE!
25.8920597,-80.161354,622280070180,"630,000",9900,1531,2978,2391.4,13017,188.9,43135.1,38176.2,15687.2,41,0,February,4,#VALUE!
25.8924726,-80.157217,622280080100,"1,020,000",10387,1753,23116,3277.4,11667.8,0,43598.7,37973.9,17068.2,63,0,February,5,#VALUE!
25.8930188,-80.157426,622280080400,"850,000",10272,1663,34933,3112.4,11718.1,10.5,43780.8,38198.3,16989.9,21,0,September,4,#VALUE!
25.8930464,-80.161556,622280080020,"250,000",9375,1493,11668,2081.8,13043.8,51.5,43481.7,38542,15623.3,56,0,March,4,#VALUE!
25.8930496,-80.158048,622280080370,"1,220,000",13803,3077,34580,2937.7,11917.7,9.7,43730.1,38235.2,16787,63,0,November,5,#VALUE!
25.8932048,-80.155538,622280080480,"1,160,000",10848,1983,28806,3512,11062.3,12.1,44018.8,38132.1,17618.3,64,0,February,4,#VALUE!
25.8934605,-80.16837,622290410300,"260,000",8438,1794,0,242.8,15310.4,738.6,43127.5,39333.4,13433.6,51,0,November,2,#VALUE!
25.8935269,-80.166857,622290410220,"178,000",8438,1509,1248,652.2,14808.8,366.5,43244.6,39200.2,13927,56,0,July,2,#VALUE!
25.8935305,-80.166665,622290410210,"250,000",8438,1331,0,705,14750,353.2,43261.2,39184.8,13995.2,66,0,July,2,#VALUE!
25.8941563,-80.159059,622280080970,"913,500",8475,1742,9836,2432.6,12230.7,0,44047.7,38727.5,16494,46,0,September,5,#VALUE!
25.894357,-80.168043,622290410080,"159,000",8375,1158,2677,164,15183.5,537.6,43467.9,39609.3,13555.8,65,0,November,2,#VALUE!
25.8943649,-80.167856,622290410070,"199,000",8375,1064,6730,209.4,15119.1,473.2,43481.3,39591.8,13615.1,48,0,June,2,#VALUE!
25.8944409,-80.161129,622280080090,"590,000",9375,2574,37975,1847.6,12871,42,44007.1,38994.4,15786.3,62,0,October,4,#VALUE!
25.8946644,-80.161061,622280120010,"450,000",10625,1529,3607,1805.9,12840.6,43,44081.8,39058.8,15809.4,61,0,February,4,#VALUE!
25.8954044,-80.15441,622280120740,"1,870,000",10875,4552,35124,3253.8,10645.2,0,44898.4,38841.8,18007.8,8,0,March,5,#VALUE!
25.8956119,-80.154419,622280120730,"1,067,300",10875,3137,15972,3200.4,10644.5,0,44968.8,38915.2,18007.1,31,0,May,5,#VALUE!
25.8959664,-80.156325,622280120640,"1,056,000",8550,2266,34952,2658.6,11300.6,0,44914.6,39159.6,17421.5,42,0,December,5,#VALUE!
25.8965906,-80.14807,622280170630,"900,000",18745,3992,22191,4621.6,8524,80.8,45894.1,38871.9,20105.8,59,0,September,5,#VALUE!
25.8968085,-80.156458,622280180370,"1,015,000",12315,1920,34340,2395.1,11328.9,0,45179.1,39419,17352.7,21,0,May,5,#VALUE!
25.8969741,-80.15136,622280200610,"1,235,000",9375,2931,30962,3662.5,9665,0.2,45722.7,39195.8,19069.7,58,0,August,5,#VALUE!
